¿ù,ÀÏ, 1h , 2h , 3h , 4h , 5h , 6h , 7h , 8h , 9h , 10h , 11h , 12h , 13h , 14h , 15h , 16h , 17h , 18h , 19h , 20h , 21h , 22h , 23h , 24h 
3,26,0,0,0,0,0,0,3,109.32,269.52,369.24,575.04,517.92,698.28,810.96,736.32,551.88,348.24,124.68,13.2,0,0,0,0,0
3,27,0,0,0,0,0,0,0.48,85.44,358.08,777.96,1010.88,1153.56,1242.48,1224.6,1115.88,915.6,628.08,275.4,31.32,0,0,0,0,0
3,28,0,0,0,0,0,0,7.32,168.12,516.12,845.76,1086,1246.32,1298.16,1221.48,955.8,547.68,379.68,187.32,28.44,0,0,0,0,0
3,29,0,0,0,0,0,0,3.12,91.2,533.4,910.08,1183.32,1301.28,1377.24,1340.88,1149.48,702.72,508.56,184.44,34.56,0,0,0,0,0
3,30,0,0,0,0,0,0,8.52,120.96,409.68,700.56,800.28,941.28,878.28,657,466.2,326.76,320.16,108.6,6.84,0,0,0,0,0
3,31,0,0,0,0,0,0,3.6,116.52,445.2,815.64,1049.52,1280.64,1306.44,1245,1127.76,922.44,608.76,261.36,35.64,0,0,0,0,0
4,1,0,0,0,0,0,0,7.68,148.2,355.56,736.08,865.68,840,906.6,1016.52,1101.36,899.88,604.8,242.88,40.2,0,0,0,0,0
4,2,0,0,0,0,0,0,0,19.44,146.52,221.16,206.28,227.88,189.84,131.4,124.2,115.2,40.56,12.24,0,0,0,0,0,0
4,3,0,0,0,0,0,0,10.8,195.96,564.24,906.12,1135.68,1291.32,1332.24,1253.88,1174.32,989.16,463.32,232.8,36.72,0,0,0,0,0
4,4,0,0,0,0,0,0,3.96,47.76,160.56,337.56,528,1112.52,1276.8,1214.28,1128.96,879.96,564.12,210,53.52,0,0,0,0,0
4,5,0,0,0,0,0,0,14.16,164.88,450.24,357.6,702.6,799.32,704.4,431.64,292.8,176.4,117.48,78.36,18.96,0,0,0,0,0
4,6,0,0,0,0,0,0,0,8.04,42.72,138.72,138.12,200.52,81.24,35.28,20.76,40.8,41.04,7.8,0,0,0,0,0,0
4,7,0,0,0,0,0,0,0,12,87.24,183.12,219.12,516.84,937.68,955.32,842.88,934.2,649.2,320.52,41.64,0,0,0,0,0
4,8,0,0,0,0,0,0,20.52,146.28,486.48,584.52,623.76,785.52,801.48,1031.76,855.96,819.6,570,292.08,43.2,0,0,0,0,0
4,9,0,0,0,0,0,0,16.32,173.64,528.84,863.64,1104.84,1263.12,1308.48,1269.6,1172.04,975.36,642.84,284.4,49.2,0,0,0,0,0
4,10,0,0,0,0,0,0,23.52,221.4,430.32,661.2,1182.96,1119.6,1343.76,1346.88,1207.56,974.04,569.16,275.76,47.76,0,0,0,0,0
4,11,0,0,0,0,0,0,23.04,228,588.96,930.24,1171.32,1316.04,1365.36,1330.56,1209.6,1001.16,680.52,301.32,46.92,0,0,0,0,0
4,12,0,0,0,0,0,0,25.2,201.12,562.08,941.16,1174.44,1340.4,1387.44,1354.56,1234.44,1012.08,691.32,317.88,50.28,0,0,0,0,0
4,13,0,0,0,0,0,0,33.72,225.72,537.36,843.6,1067.04,1199.4,1243.32,1208.52,1101.84,886.8,582.72,262.56,46.56,0,0,0,0,0
4,14,0,0,0,0,0,0,24.96,157.92,423.72,675.24,905.4,454.44,132.24,889.56,1109.88,973.08,680.16,321.36,55.32,0,0,0,0,0
4,15,0,0,0,0,0,0,28.2,210.12,522.36,830.64,983.4,1124.4,1139.52,1082.28,983.4,791.04,517.2,233.16,47.16,0,0,0,0,0
4,16,0,0,0,0,0,0,35.76,193.08,362.4,529.32,872.88,1063.56,1179.96,1159.68,794.4,678.36,409.92,51.36,0.96,0,0,0,0,0
4,17,0,0,0,0,0,0,4.56,65.88,209.04,694.32,659.04,228.24,688.32,813.24,423.84,429.72,422.28,271.68,49.8,0,0,0,0,0
4,18,0,0,0,0,0,0,7.44,73.56,189.6,321.72,503.88,701.52,677.64,1168.56,1029.96,807.24,526.92,250.2,56.04,0,0,0,0,0
4,19,0,0,0,0,0,0,35.76,135.84,468.84,819.72,858.24,1069.8,1236.72,1224.48,1115.52,906.72,606.84,276.96,58.68,0,0,0,0,0
4,20,0,0,0,0,0,0,0,14.52,33.72,60.96,113.88,99.36,255.36,173.28,84.84,62.28,101.88,38.88,7.08,0,0,0,0,0
4,21,0,0,0,0,0,0,45,258.6,596.04,900,1140.48,1303.2,1345.32,1297.08,1176.6,968.52,637.2,261.6,69.72,0,0,0,0,0
4,22,0,0,0,0,0,0,44.88,269.28,610.8,909.24,1139.28,1187.4,1227.12,1229.16,1125.36,804.36,584.04,235.8,48.84,0,0,0,0,0
4,23,0,0,0,0,0,0,1.44,18.6,38.16,45.48,98.04,97.92,77.88,54.84,84.6,57,53.4,12.72,0,0,0,0,0,0
4,24,0,0,0,0,0,0,0,27.24,128.64,634.56,941.16,1247.76,1318.92,1281.48,1145.88,916.44,589.8,286.08,69.96,0,0,0,0,0
4,25,0,0,0,0,0,0,5.16,52.92,107.88,214.56,503.04,597.36,253.56,77.28,157.44,179.28,263.4,267,69.24,0,0,0,0,0
4,26,0,0,0,0,0,0,45.12,269.76,605.4,930.6,1151.28,1269.96,1318.2,1287.24,1178.88,956.52,650.16,307.68,62.28,0.24,0,0,0,0
4,27,0,0,0,0,0,0,57.36,253.44,523.44,788.52,1028.28,1137.12,1188.24,605.52,80.64,300.24,255.96,213.6,33.84,0,0,0,0,0
4,28,0,0,0,0,0,0,42.12,222.96,499.56,769.56,788.88,663.96,939.36,1147.2,1123.68,711.36,394.56,278.4,42.48,0,0,0,0,0
4,29,0,0,0,0,0,0,11.64,66.24,144.12,156.96,164.64,187.92,91.44,98.76,89.04,145.56,187.56,130.68,35.4,0,0,0,0,0
4,30,0,0,0,0,0,0,37.32,147,287.16,614.16,912.84,877.8,1015.08,1076.76,989.16,813.36,685.92,334.2,79.68,1.56,0,0,0,0
5,1,0,0,0,0,0,0,73.32,211.92,613.8,895.92,1084.08,1190.76,1260.24,1228.08,1114.92,933.72,648.6,342.72,119.76,1.32,0,0,0,0
5,2,0,0,0,0,0,0.12,74.28,323.28,651.12,923.52,1123.2,1258.56,1268.52,1211.04,1084.32,895.08,625.92,310.32,80.76,1.32,0,0,0,0
5,3,0,0,0,0,0,0,37.68,192.84,542.76,871.2,1053.84,1125.48,1182.24,1126.08,683.76,764.76,417.6,192.48,53.04,1.08,0,0,0,0
5,4,0,0,0,0,0,0,74.04,309.48,641.4,923.76,1087.8,1188.48,1285.32,1240.56,1138.68,955.56,671.76,348.36,85.2,1.68,0,0,0,0
5,5,0,0,0,0,0,0,45.48,209.64,562.92,911.64,1113.6,1220.76,1222.32,1233.96,1148.76,972.84,688.8,362.28,86.4,1.92,0,0,0,0
5,6,0,0,0,0,0,0.12,77.76,337.92,669.48,935.52,1126.32,1273.32,1170.48,1136.52,1111.2,915.48,645.6,327.48,81.24,2.16,0,0,0,0
5,7,0,0,0,0,0,0.36,74.64,288.24,575.76,832.32,1004.88,1139.88,1178.28,1155.24,1029.96,850.56,562.32,306.72,71.52,3.6,0,0,0,0
5,8,0,0,0,0,0,2.64,108.36,290.88,623.52,807.6,1004.76,1157.16,1173.72,1169.4,1059.72,854.64,556.68,246.36,80.52,2.4,0,0,0,0
5,9,0,0,0,0,0,0,38.76,98.52,184.92,355.44,373.32,597.48,353.16,394.8,427.56,323.16,116.04,26.28,4.56,0,0,0,0,0
5,10,0,0,0,0,0,0,0,54.48,85.2,181.92,308.4,240.72,528.48,533.76,211.56,229.56,149.52,96.96,19.92,0,0,0,0,0
5,11,0,0,0,0,0,0,43.56,136.44,333.6,565.2,996.84,1160.64,1179.24,1145.28,1041.96,865.44,585.36,303.12,91.32,3.36,0,0,0,0
5,12,0,0,0,0,0,0.12,78.24,266.76,564.72,847.08,1048.32,1155.6,1185.96,1146.36,1037.88,849.12,608.76,324.84,91.68,3.36,0,0,0,0
5,13,0,0,0,0,0,0.72,85.08,320.88,626.76,887.28,1069.44,1171.56,1212.84,1187.52,1086.84,920.64,668.4,354.72,90.24,5.04,0,0,0,0
5,14,0,0,0,0,0,2.16,89.52,362.28,671.64,919.68,1063.8,1176.72,1257.24,1209.36,1053.72,898.56,428.76,232.08,97.8,4.8,0,0,0,0
5,15,0,0,0,0,0,0.48,90.36,160.32,500.16,696,881.4,589.8,893.88,792.12,806.76,754.44,583.2,292.32,100.68,5.28,0,0,0,0
5,16,0,0,0,0,0,2.28,95.4,282.72,606.48,770.4,916.56,1223.04,1121.76,1023.6,918,775.44,623.04,338.76,124.68,6.96,0,0,0,0
5,17,0,0,0,0,0,0.96,81,368.28,570.36,985.68,1177.08,1153.8,921.6,865.56,895.68,796.56,692.64,372.24,72.24,1.92,0,0,0,0
5,18,0,0,0,0,0,1.68,111.84,323.52,551.76,747.96,873.84,1019.76,953.76,875.88,737.52,565.68,332.64,87.84,14.28,0,0,0,0,0
5,19,0,0,0,0,0,0,5.4,61.92,74.4,211.8,320.88,352.44,243.48,214.08,218.4,218.88,234.96,86.64,20.04,0,0,0,0,0
5,20,0,0,0,0,0,2.4,103.08,275.76,421.92,334.44,667.8,676.68,330.84,299.4,379.08,305.28,248.88,167.04,92.52,8.4,0,0,0,0
5,21,0,0,0,0,0,0.12,53.28,228.12,688.68,964.2,1123.68,1211.4,1229.52,1182.96,1107,919.8,666.36,366.6,109.68,7.56,0,0,0,0
5,22,0,0,0,0,0,2.64,90.36,303.96,577.44,799.92,978.36,1083.72,1100.04,1082.4,984.12,812.52,574.32,310.56,101.16,5.88,0,0,0,0
5,23,0,0,0,0,0,2.28,88.32,271.56,518.64,774.72,982.32,1066.32,1089,1062.24,990.96,819.6,577.44,311.28,105.72,6.84,0,0,0,0
5,24,0,0,0,0,0,1.8,51.24,254.88,589.32,813.12,1036.92,1102.68,1138.68,1116.6,1049.64,883.32,636,352.8,108.36,7.56,0,0,0,0
5,25,0,0,0,0,0,1.92,67.68,291.12,537.24,846.24,989.76,1107.72,1165.08,1158.36,1059.48,864.24,610.8,356.64,112.8,7.08,0,0,0,0
5,26,0,0,0,0,0,0.12,74.16,211.8,370.08,528.12,413.76,680.16,819.48,575.64,418.32,270.12,194.88,99.12,27.96,0,0,0,0,0
5,27,0,0,0,0,0,0,0.36,29.28,47.16,77.28,122.16,151.44,124.2,89.04,75.24,59.16,40.08,0.84,0,0,0,0,0,0
5,28,0,0,0,0,0,0,0,10.56,40.68,102.24,282.6,537.48,168.36,191.16,614.28,65.76,34.56,26.4,0,0,0,0,0,0
5,29,0,0,0,0,0,0,0,20.88,102.12,118.92,102,130.2,426.36,648.72,254.88,101.52,140.04,175.44,30.48,9.36,0,0,0,0
5,30,0,0,0,0,0,4.08,111,296.4,386.16,592.2,917.76,971.88,1171.8,942.72,878.28,746.04,571.44,327.48,122.28,9.24,0,0,0,0
5,31,0,0,0,0,0,3.72,75.72,141.72,217.56,219,287.4,190.56,315,411.48,544.92,539.64,466.44,256.68,80.28,5.88,0,0,0,0
6,1,0,0,0,0,0,0,18.48,61.32,122.52,200.4,319.44,359.64,451.08,445.8,484.08,438,315.96,202.08,90.84,9.84,0,0,0,0
6,2,0,0,0,0,0,8.04,115.08,260.76,507.72,732.6,853.92,854.04,906.72,1123.08,945.6,891.84,672,372.48,128.28,12.84,0,0,0,0
6,3,0,0,0,0,0,0,34.44,145.44,365.28,751.32,977.16,1082.04,1121.64,1090.08,994.08,842.52,603.24,338.88,118.08,7.2,0,0,0,0
6,4,0,0,0,0,0,2.4,95.16,318.6,603.6,832.2,994.92,1094.52,1113.6,1073.64,999.6,840.72,609.36,342.24,123.48,14.16,0,0,0,0
