년월일,호기,구분,총량,평균,최대,최소,최대(시간별),최소(시간별),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2018.02.01,1,발전량,9.028,0.376,1.389,0,1.389,0.001,0,0,0,0,0,0,0,0.001,0.276,0.764,1.114,1.3,1.389,1.362,1.215,0.954,0.552,0.099,0,0,0,0,0,0
2018.02.02,1,발전량,8.429,0.351,1.321,0,1.321,0.002,0,0,0,0,0,0,0,0.002,0.242,0.74,1.058,1.249,1.262,1.321,1.169,0.881,0.416,0.088,0,0,0,0,0,0
2018.02.03,1,발전량,8.588,0.358,1.475,0,1.475,0.044,0,0,0,0,0,0,0,0,0.044,0.347,0.89,1.381,1.475,1.437,1.29,1.021,0.594,0.109,0,0,0,0,0,0
2018.02.04,1,발전량,9.503,0.396,1.478,0,1.478,0.003,0,0,0,0,0,0,0,0.003,0.292,0.782,1.155,1.39,1.478,1.438,1.286,1.004,0.564,0.111,0,0,0,0,0,0
2018.02.05,1,발전량,9.702,0.404,1.491,0,1.491,0.004,0,0,0,0,0,0,0,0.004,0.306,0.796,1.173,1.41,1.491,1.471,1.323,1.045,0.585,0.097,0,0,0,0,0,0
2018.02.06,1,발전량,9.704,0.404,1.492,0,1.492,0.005,0,0,0,0,0,0,0,0.005,0.31,0.802,1.17,1.407,1.492,1.455,1.317,1.025,0.596,0.124,0,0,0,0,0,0
2018.02.07,1,발전량,9.471,0.395,1.425,0,1.425,0.006,0,0,0,0,0,0,0,0.006,0.324,0.796,1.137,1.34,1.42,1.425,1.291,1.014,0.593,0.124,0,0,0,0,0,0
2018.02.08,1,발전량,8.418,0.351,1.333,0,1.333,0.002,0,0,0,0,0,0,0,0.002,0.205,0.644,1.001,1.229,1.333,1.318,1.169,0.9,0.51,0.108,0,0,0,0,0,0
2018.02.09,1,발전량,7.031,0.293,1.287,0,1.287,0.032,0,0,0,0,0,0,0,0,0.032,0.35,0.685,1.029,1.155,1.287,1.156,0.86,0.418,0.059,0,0,0,0,0,0
2018.02.10,1,발전량,4.761,0.198,1.031,0,1.031,0,0,0,0,0,0,0,0,0,0.101,0.127,0.346,0.525,1.031,0.799,0.716,0.67,0.343,0.104,0,0,0,0,0,0
2018.02.11,1,발전량,7.45,0.31,1.477,0,1.477,0.015,0,0,0,0,0,0,0,0.015,0.31,0.608,0.895,1.278,1.477,1.398,0.608,0.588,0.231,0.042,0,0,0,0,0,0
2018.02.12,1,발전량,6.168,0.257,1.22,0,1.22,0.007,0,0,0,0,0,0,0,0.007,0.213,0.565,0.912,1.22,0.961,0.856,0.744,0.47,0.193,0.026,0,0,0,0,0,0
2018.02.13,1,발전량,9.121,0.38,1.492,0,1.492,0.004,0,0,0,0,0,0,0,0.004,0.147,0.449,1.117,1.388,1.492,1.455,1.295,1.02,0.608,0.146,0,0,0,0,0,0
2018.02.14,1,발전량,6.516,0.271,1.233,0,1.233,0.011,0,0,0,0,0,0,0,0.011,0.214,0.595,0.952,1.125,1.233,0.744,0.751,0.619,0.221,0.051,0,0,0,0,0,0
2018.02.15,1,발전량,8.876,0.37,1.411,0,1.411,0,0,0,0,0,0,0,0,0.003,0.257,0.791,1.078,1.256,1.411,1.361,1.14,0.908,0.547,0.123,0,0,0,0,0,0
2018.02.16,1,발전량,8.469,0.353,1.289,0,1.289,0.001,0,0,0,0,0,0,0,0.019,0.256,0.793,1.054,1.232,1.289,1.1,1.188,0.919,0.512,0.109,0.001,0,0,0,0,0
2018.02.17,1,발전량,10.274,0.428,1.554,0,1.554,0.025,0,0,0,0,0,0,0,0.025,0.411,0.893,1.243,1.457,1.554,1.507,1.343,1.075,0.644,0.122,0,0,0,0,0,0
2018.02.18,1,발전량,5.995,0.25,0.91,0,0.91,0.012,0,0,0,0,0,0,0,0.012,0.224,0.631,0.861,0.803,0.91,0.806,0.786,0.593,0.287,0.081,0,0,0,0,0,0
2018.02.19,1,발전량,7.229,0.301,1.264,0,1.264,0.014,0,0,0,0,0,0,0,0.014,0.341,0.744,1.011,1.156,1.264,1.001,0.677,0.574,0.361,0.087,0,0,0,0,0,0
2018.02.20,1,발전량,7.981,0.333,1.353,0,1.353,0.015,0,0,0,0,0,0,0,0.015,0.281,0.746,1.043,1.273,1.353,1.155,1.049,0.68,0.319,0.067,0,0,0,0,0,0
2018.02.21,1,발전량,8.159,0.34,1.36,0,1.36,0.001,0,0,0,0,0,0,0,0.014,0.321,0.732,0.955,1.244,1.358,1.36,0.98,0.651,0.406,0.135,0.001,0,0,0,0,0
2018.02.22,1,발전량,8.213,0.342,1.387,0,1.387,0.001,0,0,0,0,0,0,0,0.018,0.366,0.834,1.161,1.387,0.92,1.118,1.221,0.471,0.627,0.088,0.001,0,0,0,0,0
